"","Anemone.ID","Month","Month.Clutch","Treatment","Reef.ID","Date","Time","Clutch.Age","M.tend","F.tend","Conflict.M","Conflict.F","Actual.Observer","Manipulation","Age","Laid","ID","expt","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL"
"1",204,"2",2,"F","Marks ","8/6/2018",20,6,14.25533333,3.0889,0,0,"M","7/17/2018","Late",289,204,"Y",46.6,49,47.8,33.2,36.3,34.75,"3.1",2.4
"2",204,"1",1,"F","Marks","6/25/2018",12,4,11.4758,0.257333,0,0,"M","6/13/2018","Early",165,204,"Y",46.6,49,47.8,33.2,36.3,34.75,"3.1",2.4
"3",204,"2",1,"F","Marks","7/27/2018",12,7,11.27338333,0.377716667,0,0,"M","7/15/2018","Late",335,204,"Y",46.6,49,47.8,33.2,36.3,34.75,"3.1",2.4
"4",204,"2",1,"F","Marks","7/23/2018",8,3,14.44481667,0.693116667,0,0,"T","7/15/2018","Early",335,204,"Y",46.6,49,47.8,33.2,36.3,34.75,"3.1",2.4
"5",204,"1",1,"F","Marks","6/27/2018",14,6,12.49008333,0.448316667,0,0,"M","6/13/2018","Late",165,204,"Y",46.6,49,47.8,33.2,36.3,34.75,"3.1",2.4
"6",204,"2",2,"F","Marks","8/2/2018",18,3,8.073433333,0.288266667,0,0,"M","7/15/2018","Early",289,204,"Y",46.6,49,47.8,33.2,36.3,34.75,"3.1",2.4
"7",206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,"Y",38.3,NA,38.3,30,NA,30,"-30",-38.3
"8",338,"2",2,"M","First","8/10/2018",25,7,13.57235,0.75925,0,0,"T","7/16/2018","Late",203,338,"Y",53.3,53.6,53.45,40.5,41,40.75,"0.5",0.3
"9",338,"2",2,"M","First","8/6/2018",21,3,6.050766667,0.7176,0,0,"T","7/16/2018","Early",203,338,"Y",53.3,53.6,53.45,40.5,41,40.75,"0.5",0.3
"10",347,"1",1,"C","Bobs","7/3/2018",20,7,13.72433333,1.396533333,0,0,"T","6/13/2018","Late",481,347,"Y",60.9,61.6,61.25,52.1,52.5,52.3,"0.4",0.7
"11",347,"1",2,"C","Bobs","7/13/2018",30,6,14.78251667,8.094833333,0,0,"T","6/13/2018","Late",500,347,"Y",60.9,61.6,61.25,52.1,52.5,52.3,"0.4",0.7
"12",347,"2",2,"C","Bobs","8/12/2018",28,7,14.80548333,1.939616667,0,0,"T","7/15/2018","Late",659,347,"Y",60.9,61.6,61.25,52.1,52.5,52.3,"0.4",0.7
"13",347,"1",2,"C","Bobs","7/11/2018",28,4,13.04546667,0.740133333,0,0,"T","6/13/2018","Early",500,347,"Y",60.9,61.6,61.25,52.1,52.5,52.3,"0.4",0.7
"14",347,"2",2,"C","Bobs","8/8/2018",24,3,13.2308,1.2458,0,0,"T","7/15/2018","Early",659,347,"Y",60.9,61.6,61.25,52.1,52.5,52.3,"0.4",0.7
"15",347,"1",1,"C","Bobs","6/29/2018",16,3,11.74521667,0.802283333,0,0,"T","6/13/2018","Early",481,347,"Y",60.9,61.6,61.25,52.1,52.5,52.3,"0.4",0.7
