"","ID","Month","Month.Clutch","Laid","Treatment","FSL","OLRE"
"1",202,1,1,297,NA,NA,1
"2",204,1,1,165,"F",47.8,2
"3",204,2,2,289,"F",47.8,3
"4",204,2,1,335,"F",47.8,4
"5",206,NA,NA,NA,NA,38.3,5
"6",338,2,2,203,"M",53.45,6
"7",338,2,1,121,"M",53.45,7
"8",339,1,1,195,NA,NA,8
"9",347,1,1,481,"C",61.25,9
"10",347,2,2,659,"C",61.25,10
"11",347,1,2,500,"C",61.25,11
"12",347,2,1,597,"C",61.25,12
"13",351,1,2,232,"F",51.65,13
"14",351,2,2,354,"F",51.65,14
"15",351,2,1,293,"F",51.65,15
"16",351,NA,NA,316,"F",51.65,16
"17",353,2,1,212,"F",56.15,17
"18",353,1,1,189,"F",56.15,18
"19",353,1,2,293,"F",56.15,19
"20",355,1,3,269,"C",54.85,20
"21",355,2,1,246,"C",54.85,21
"22",355,2,2,296,"C",54.85,22
"23",355,1,1,179,"C",54.85,23
"24",355,1,2,295,"C",54.85,24
"25",356,1,2,227,"M",51.9,25
"26",356,2,2,281,"M",51.9,26
"27",356,2,1,121,"M",51.9,27
"28",356,2,3,264,"M",51.9,28
"29",356,1,1,147,"M",51.9,29
"30",358,1,1,234,"C",55.8,30
"31",358,2,2,408,"C",55.8,31
"32",358,1,2,271,"C",55.8,32
"33",358,2,1,430,"C",55.8,33
"34",362,2,2,608,"M",52.85,34
"35",362,1,2,490,"M",52.85,35
"36",362,1,1,436,"M",52.85,36
"37",362,1,3,393,"M",52.85,37
"38",362,2,1,662,"M",52.85,38
"39",363,1,1,142,NA,NA,39
"40",380,1,2,368,"F",50,40
"41",380,2,1,160,"F",50,41
"42",381,2,1,402,"F",53.45,42
"43",381,1,1,271,"F",53.45,43
"44",381,2,2,479,"F",53.45,44
"45",381,1,2,302,"F",53.45,45
"46",382,1,1,276,"C",61.2,46
"47",383,1,1,54,NA,NA,47
"48",384,2,1,343,"M",51.2,48
"49",384,1,1,209,"M",51.2,49
"50",384,2,2,362,"M",51.2,50
"51",384,1,2,273,"M",51.2,51
"52",384,1,3,253,"M",51.2,52
"53",386,2,2,143,"F",54,53
"54",386,1,1,59,"F",54,54
"55",389,1,1,92,NA,NA,55
"56",390,2,1,350,"C",55.1,56
"57",390,2,2,366,"C",55.1,57
"58",390,1,3,195,"C",55.1,58
"59",390,2,3,247,"C",55.1,59
"60",390,1,1,165,"C",55.1,60
"61",390,1,2,284,"C",55.1,61
"62",392,1,2,170,"M",49.1,62
"63",392,2,1,415,"M",49.1,63
"64",392,1,1,226,"M",49.1,64
"65",392,2,2,326,"M",49.1,65
"66",393,2,2,269,"M",47.2,66
"67",393,2,3,254,"M",47.2,67
"68",393,2,1,230,"M",47.2,68
