"","ID","Month","Treatment","Hatch","OLRE","M.tend","Laid"
"1",204,1,"F",412,1,12.49008333,165
"4",204,2,"F",422,2,14.25533333,289
"6",204,2,"F",422,3,11.27338333,335
"8",338,2,"M",146,4,13.57235,203
"9",347,1,"C",388,5,14.78251667,500
"11",347,1,"C",388,6,13.72433333,481
"14",347,2,"C",1014,7,14.80548333,659
"16",351,1,"F",370,8,10.75893,232
"17",351,2,"F",221,9,14.12023,293
"21",353,1,"F",221,10,14.10738333,189
"23",353,1,"F",221,11,13.53848333,293
"25",355,1,"C",312,12,11.50293333,179
"26",355,1,"C",312,13,14.94048333,295
"29",355,2,"C",378,14,10.79926667,246
"30",355,2,"C",378,15,14.62906667,296
"33",356,1,"M",85,16,7.64085,147
"35",356,1,"M",85,17,10.5726,227
"37",356,2,"M",477,18,10.90391667,264
"39",356,2,"M",477,19,7.861566667,121
"41",356,2,"M",477,20,14.4549,281
"44",358,1,"C",411,21,13.4554,234
"45",358,1,"C",411,22,14.47058333,271
"46",358,2,"C",718,23,14.76513333,430
"49",358,2,"C",718,24,13.51533333,408
"50",362,1,"M",1015,25,9.52075,393
"51",362,1,"M",1015,26,13.53353333,436
"54",362,1,"M",1015,27,14.42296667,490
"57",362,2,"M",1133,28,14.6089,662
"58",362,2,"M",1133,29,14.7475,608
"61",380,2,"F",50,30,12.89858333,160
"62",381,1,"F",386,31,13.87163333,302
"65",381,1,"F",386,32,12.30193333,271
"66",381,2,"F",326,33,12.17898333,402
"69",384,1,"M",543,34,11.40006667,209
"70",384,1,"M",543,35,13.32005,253
"73",384,1,"M",543,36,11.53111667,273
"76",384,2,"M",566,37,12.59133333,362
"77",384,2,"M",566,38,11.60121667,343
"78",386,1,"F",14,39,10.84235,59
"82",390,1,"C",123,40,7.206616667,165
"83",390,1,"C",123,41,11.75938333,195
"84",390,1,"C",123,42,8.1688,284
"87",390,2,"C",627,43,11.31988333,366
"90",392,1,"M",115,44,13.6208,226
"93",392,2,"M",223,45,13.41613333,415
"95",393,1,"M",363,46,7.357716667,186
"96",393,2,"M",544,47,10.55326667,269
"97",393,2,"M",544,48,12.84086667,230
"100",394,1,"M",522,49,10.4492,358
"102",394,1,"M",522,50,14.09953333,426
"104",394,2,"M",443,51,12.38333333,503
"107",396,1,"F",59,52,13.27965,117
"109",396,2,"F",277,53,14.28405,188
"111",399,1,"C",330,54,13.81101667,408
"114",403,1,"M",858,55,14.64866667,590
"117",403,2,"M",1369,56,14.6665,975
"118",405,2,"F",439,57,14.58886667,424
"121",408,1,"C",289,58,14.65933333,403
"122",408,1,"C",289,59,12.51805,261
"126",411,1,"M",244,60,13.76015,360
"127",411,2,"M",30,61,6.431666667,494
"128",412,1,"F",1099,62,13.30176667,394
"130",412,1,"F",1099,63,14.16235,407
"134",412,2,"F",813,64,14.35138333,422
"138",413,1,"C",525,65,10.6337,298
"139",413,1,"C",525,66,12.61066667,339
"140",413,1,"C",525,67,9.586083333,326
"142",413,2,"C",211,68,10.53536667,68
"146",417,1,"F",255,69,7.06725,170
"147",417,1,"F",255,70,9.63275,213
"150",424,1,"F",100,71,12.54453333,376
"153",424,2,"F",569,72,14.66235,480
"155",426,1,"C",136,73,12.19975,156
