"","ID","Month","Laid","Reef","Treatment","OLRE","expt","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL","Anemone.ID"
"1",202,1,297,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",204,1,165,"Marks","F",2,"Y",46.6,49,47.8,33.2,36.3,34.75,"3.1",2.4,204
"3",204,2,624,"Marks","F",3,"Y",46.6,49,47.8,33.2,36.3,34.75,"3.1",2.4,204
"4",206,NA,NA,NA,NA,NA,"Y",38.3,NA,38.3,30,NA,30,"-30",-38.3,206
"5",338,2,324,"First","M",4,"Y",53.3,53.6,53.45,40.5,41,40.75,"0.5",0.3,338
"6",339,1,195,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",347,1,981,"Bob's","C",7,"Y",60.9,61.6,61.25,52.1,52.5,52.3,"0.4",0.7,347
"8",347,2,1256,"Bob's","C",6,"Y",60.9,61.6,61.25,52.1,52.5,52.3,"0.4",0.7,347
"9",351,1,232,"Hanging 2","F",8,"Y",51.6,51.7,51.65,43.5,42.8,43.15,"-0.7",0.1,351
"10",351,2,647,"Hanging 2","F",9,"Y",51.6,51.7,51.65,43.5,42.8,43.15,"-0.7",0.1,351
"11",353,1,482,"Hanging 1","F",10,"Y",56.1,56.2,56.15,45.5,44.5,45,"-1",0.1,353
"12",353,2,212,"Hanging 1","F",11,"Y",56.1,56.2,56.15,45.5,44.5,45,"-1",0.1,353
"13",355,1,743,"Hanging 1","C",12,"Y",55.3,54.4,54.85,43.5,44.2,43.85,"0.7",-0.9,355
"14",355,2,542,"Hanging 1","C",13,"Y",55.3,54.4,54.85,43.5,44.2,43.85,"0.7",-0.9,355
"15",356,1,374,"Hanging 1","M",15,"Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4,356
"16",356,2,666,"Hanging 1","M",14,"Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4,356
"17",358,2,838,"Hanging 2","C",17,"Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6,358
"18",358,1,505,"Hanging 2","C",16,"Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6,358
"19",362,2,1270,"Marks","M",19,"Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3,362
"20",362,1,1319,"Marks","M",18,"Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3,362
"21",363,1,142,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",380,1,368,"First","F",21,"Y",49,51,50,38.4,38,38.2,"-0.4",2,380
"23",380,2,160,"First","F",22,"Y",49,51,50,38.4,38,38.2,"-0.4",2,380
"24",381,1,573,"Luba","F",24,"Y",53.8,53.1,53.45,38.2,37.4,37.8,"-0.8",-0.7,381
"25",381,2,881,"Luba","F",23,"Y",53.8,53.1,53.45,38.2,37.4,37.8,"-0.8",-0.7,381
"26",382,1,276,"Gava 1","C",25,"Y",61,61.4,61.2,46,47,46.5,"1",0.4,382
"27",383,1,54,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",384,1,735,"Hanging 2","M",28,"Y",51,51.4,51.2,40.3,40,40.15,"-0.3",0.4,384
"29",384,2,705,"Hanging 2","M",27,"Y",51,51.4,51.2,40.3,40,40.15,"-0.3",0.4,384
"30",386,1,59,"First","F",29,"Y",53.4,54.6,54,39.3,42.1,40.7,"2.8",1.2,386
"31",386,2,143,"First","F",30,"Y",53.4,54.6,54,39.3,42.1,40.7,"2.8",1.2,386
"32",389,1,92,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",390,1,644,"Marks","C",33,"Y",54.4,55.8,55.1,40,39.4,39.7,"-0.6",1.4,390
"34",390,2,963,"Marks","C",32,"Y",54.4,55.8,55.1,40,39.4,39.7,"-0.6",1.4,390
"35",392,2,741,"Luba","M",34,"Y",48.2,50,49.1,35.6,37.2,36.4,"1.6",1.8,392
"36",392,1,396,"Luba","M",35,"Y",48.2,50,49.1,35.6,37.2,36.4,"1.6",1.8,392
"37",393,1,186,"Luba","M",36,"Y",46.5,47.9,47.2,37,38.5,37.75,"1.5",1.4,393
"38",393,2,753,"Luba","M",37,"Y",46.5,47.9,47.2,37,38.5,37.75,"1.5",1.4,393
"39",394,1,784,"Hanging 1","M",39,"Y",55.4,56.6,56,42,42,42,"0",1.2,394
