"","ID","Month","Month.Clutch","Laid","Hatched","Reef","Treatment","expt.x","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL","Prophatch","Anemone.ID","Clutch.Age","M.tend","Age","expt.y","OLRE"
"1",204,"1",1,165,122,"Marks","F","Y",46.6,49,47.8,33.2,36.3,34.75,"3.1",2.4,0.739393939393939,204,6,12.49008333,"Late","Y",1
"2",204,"2",1,335,199,"Marks","F","Y",46.6,49,47.8,33.2,36.3,34.75,"3.1",2.4,0.594029850746269,204,7,11.27338333,"Late","Y",2
"3",204,"2",2,289,223,"Marks","F","Y",46.6,49,47.8,33.2,36.3,34.75,"3.1",2.4,0.771626297577855,204,6,14.25533333,"Late","Y",3
"4",338,"2",1,121,39,"First","M","Y",53.3,53.6,53.45,40.5,41,40.75,"0.5",0.3,0.322314049586777,NA,NA,NA,NA,NA,4
"5",338,"2",2,203,107,"First","M","Y",53.3,53.6,53.45,40.5,41,40.75,"0.5",0.3,0.527093596059113,338,7,13.57235,"Late","Y",5
"6",347,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,7,13.72433333,"Late","Y",6
"7",347,"1",2,500,388,"Bob's","C","Y",60.9,61.6,61.25,52.1,52.5,52.3,"0.4",0.7,0.776,347,6,14.78251667,"Late","Y",7
"8",347,"2",1,597,481,"Bob's","C","Y",60.9,61.6,61.25,52.1,52.5,52.3,"0.4",0.7,0.805695142378559,NA,NA,NA,NA,NA,8
"9",347,"2",2,659,533,"Bob's","C","Y",60.9,61.6,61.25,52.1,52.5,52.3,"0.4",0.7,0.808801213960546,347,7,14.80548333,"Late","Y",9
"10",351,"1",2,232,183,"Hanging 2","F","Y",51.6,51.7,51.65,43.5,42.8,43.15,"-0.7",0.1,0.788793103448276,351,6,10.75893,"Late","Y",10
"11",351,"2",1,293,221,"Hanging 2","F","Y",51.6,51.7,51.65,43.5,42.8,43.15,"-0.7",0.1,0.754266211604096,351,6,14.12023,"Late","Y",11
"12",353,"1",1,189,118,"Hanging 1","F","Y",56.1,56.2,56.15,45.5,44.5,45,"-1",0.1,0.624338624338624,353,6,14.10738333,"Late","Y",12
"13",353,"1",2,293,103,"Hanging 1","F","Y",56.1,56.2,56.15,45.5,44.5,45,"-1",0.1,0.351535836177474,353,7,13.53848333,"Late","Y",13
"14",353,"2",1,212,42,"Hanging 1","F","Y",56.1,56.2,56.15,45.5,44.5,45,"-1",0.1,0.19811320754717,NA,NA,NA,NA,NA,14
"15",355,"1",1,179,110,"Hanging 1","C","Y",55.3,54.4,54.85,43.5,44.2,43.85,"0.7",-0.9,0.614525139664804,355,6,11.50293333,"Late","Y",15
"16",355,"1",2,295,202,"Hanging 1","C","Y",55.3,54.4,54.85,43.5,44.2,43.85,"0.7",-0.9,0.684745762711864,355,7,14.94048333,"Late","Y",16
